,person,mask_ratio,run_name,split,epoch,optimizer_step,learning_rate,metric,value
0,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,0.637,100,0.0005,objective_loss,0.5892398738861084
1,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,0.637,100,0.0005,smooth_l1,0.14479939073324202
2,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,0.637,100,0.0005,ssim_loss,1.033680350780487
3,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,0.637,100,0.0005,objective_loss,0.5388096392154693
4,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,0.637,100,0.0005,smooth_l1,0.12743114456534385
5,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,0.637,100,0.0005,ssim_loss,0.9501881390810013
6,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,1.274,200,0.0005,objective_loss,0.5329689675569534
7,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,1.274,200,0.0005,smooth_l1,0.12848316498100756
8,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,1.274,200,0.0005,ssim_loss,0.9374547636508942
9,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,1.274,200,0.0005,objective_loss,0.5289924249053002
10,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,1.274,200,0.0005,smooth_l1,0.13367823511362076
11,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,1.274,200,0.0005,ssim_loss,0.9243066132068634
12,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,1.911,300,0.0005,objective_loss,0.5269908517599106
13,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,1.911,300,0.0005,smooth_l1,0.12857485078275205
14,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,1.911,300,0.0005,ssim_loss,0.925406853556633
15,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,1.911,300,0.0005,objective_loss,0.5231842175126076
16,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,1.911,300,0.0005,smooth_l1,0.13981145471334458
17,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,1.911,300,0.0005,ssim_loss,0.9065569713711739
18,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,2.548,400,0.0005,objective_loss,0.5301854085922241
19,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,2.548,400,0.0005,smooth_l1,0.13001570098102092
20,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,2.548,400,0.0005,ssim_loss,0.9303551149368287
21,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,2.548,400,0.0005,objective_loss,0.520786689221859
22,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,2.548,400,0.0005,smooth_l1,0.12786844857037066
23,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,2.548,400,0.0005,ssim_loss,0.9137049287557601
24,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,3.185,500,0.0005,objective_loss,0.5004068234562874
25,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,3.185,500,0.0005,smooth_l1,0.11785387275507674
26,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,3.185,500,0.0005,ssim_loss,0.8829597792774438
27,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,3.185,500,0.0005,objective_loss,0.22425550036132336
28,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,3.185,500,0.0005,smooth_l1,0.06943325605243444
29,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,3.185,500,0.0005,ssim_loss,0.3790777429938316
30,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,3.822,600,0.0005,objective_loss,0.029085442523064556
31,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,3.822,600,0.0005,smooth_l1,0.010960250851788943
32,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,3.822,600,0.0005,ssim_loss,0.047210633726790546
33,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,3.822,600,0.0005,objective_loss,0.00042380855084047655
34,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,3.822,600,0.0005,smooth_l1,1.6674693050333645e-06
35,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,3.822,600,0.0005,ssim_loss,0.0008459496311843395
36,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,4.459,700,0.0005,objective_loss,0.0003328323575260583
37,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,4.459,700,0.0005,smooth_l1,1.478873459177521e-06
38,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,4.459,700,0.0005,ssim_loss,0.0006641858443617821
39,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,4.459,700,0.0005,objective_loss,0.0002618855068249104
40,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,4.459,700,0.0005,smooth_l1,1.1914844215255016e-06
41,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,4.459,700,0.0005,ssim_loss,0.0005225795321166515
42,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,5.096,800,0.0005,objective_loss,0.00025494844776403626
43,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,5.096,800,0.0005,smooth_l1,1.128353530361892e-06
44,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,5.096,800,0.0005,ssim_loss,0.0005087685398757458
45,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,5.096,800,0.0005,objective_loss,0.0002243711081064248
46,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,5.096,800,0.0005,smooth_l1,9.657448465816287e-07
47,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,5.096,800,0.0005,ssim_loss,0.00044777647126466037
48,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,5.732,900,0.0005,objective_loss,0.00023101477447198704
49,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,5.732,900,0.0005,smooth_l1,1.1132469569474778e-06
50,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,5.732,900,0.0005,ssim_loss,0.0004609163012355566
51,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,5.732,900,0.0005,objective_loss,0.00019890877074431047
52,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,5.732,900,0.0005,smooth_l1,8.571283839131638e-07
53,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,5.732,900,0.0005,ssim_loss,0.00039696041494607925
54,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,6.369,1000,0.0005,objective_loss,0.00020691744015493896
55,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,6.369,1000,0.0005,smooth_l1,9.575007348416876e-07
56,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,6.369,1000,0.0005,ssim_loss,0.0004128773789852858
57,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,6.369,1000,0.0005,objective_loss,0.00017286285064983532
58,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,6.369,1000,0.0005,smooth_l1,5.948310498382625e-07
59,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,6.369,1000,0.0005,ssim_loss,0.00034513087011873723
60,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.006,1100,0.0005,objective_loss,0.0001757156109670177
61,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.006,1100,0.0005,smooth_l1,6.897668924921163e-07
62,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.006,1100,0.0005,ssim_loss,0.00035074145533144476
63,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.006,1100,0.0005,objective_loss,0.00015562645562567924
64,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.006,1100,0.0005,smooth_l1,4.820957402174031e-07
65,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.006,1100,0.0005,ssim_loss,0.0003107708180323243
66,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.643,1200,0.0005,objective_loss,0.00016753048381360714
67,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.643,1200,0.0005,smooth_l1,6.291772400857099e-07
68,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.643,1200,0.0005,ssim_loss,0.0003344317898154259
69,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.643,1200,0.0005,objective_loss,0.00014338121040964326
70,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.643,1200,0.0005,smooth_l1,4.072715647396308e-07
71,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.643,1200,0.0005,ssim_loss,0.0002863551490008831
72,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,8.28,1300,0.0005,objective_loss,0.0001552852662280202
73,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,8.28,1300,0.0005,smooth_l1,6.523927787327465e-07
74,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,8.28,1300,0.0005,ssim_loss,0.00030991814099252225
75,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,8.28,1300,0.0005,objective_loss,0.00013451183099277841
76,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,8.28,1300,0.0005,smooth_l1,3.7137183630520097e-07
77,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,8.28,1300,0.0005,ssim_loss,0.0002686522901058197
78,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,8.917,1400,0.0005,objective_loss,0.00014101267101068515
79,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,8.917,1400,0.0005,smooth_l1,5.186029918036183e-07
80,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,8.917,1400,0.0005,ssim_loss,0.0002815067395567894
81,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,8.917,1400,0.0005,objective_loss,0.0001263466475847963
82,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,8.917,1400,0.0005,smooth_l1,3.315373577006397e-07
83,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,8.917,1400,0.0005,ssim_loss,0.0002523617586120963
84,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,9.554,1500,0.0005,objective_loss,0.00014067145515582523
85,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,9.554,1500,0.0005,smooth_l1,5.482128645439843e-07
86,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,9.554,1500,0.0005,ssim_loss,0.00028079469688236714
87,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,9.554,1500,0.0005,objective_loss,0.000127352589606744
88,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,9.554,1500,0.0005,smooth_l1,5.522312775951832e-07
89,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,9.554,1500,0.0005,ssim_loss,0.0002541529480367899
90,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,10.191,1600,0.0005,objective_loss,0.0001311942737083882
91,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,10.191,1600,0.0005,smooth_l1,5.548884590211856e-07
92,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,10.191,1600,0.0005,ssim_loss,0.0002618336584419012
93,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,10.191,1600,0.0005,objective_loss,0.00011675160258164396
94,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,10.191,1600,0.0005,smooth_l1,3.586817141965071e-07
95,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,10.191,1600,0.0005,ssim_loss,0.0002331445226445794
96,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,10.828,1700,0.0005,objective_loss,0.00013017841381952167
97,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,10.828,1700,0.0005,smooth_l1,6.16392220393891e-07
98,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,10.828,1700,0.0005,ssim_loss,0.00025974043644964693
99,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,10.828,1700,0.0005,objective_loss,0.00011051579817831226
100,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,10.828,1700,0.0005,smooth_l1,2.736182665330489e-07
101,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,10.828,1700,0.0005,ssim_loss,0.0002207579789683223
102,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,11.465,1800,0.0005,objective_loss,0.00012503056812420254
103,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,11.465,1800,0.0005,smooth_l1,5.237473517638591e-07
104,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,11.465,1800,0.0005,ssim_loss,0.00024953738786280153
105,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,11.465,1800,0.0005,objective_loss,0.00010742954273155192
106,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,11.465,1800,0.0005,smooth_l1,2.9586726189023695e-07
107,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,11.465,1800,0.0005,ssim_loss,0.00021456321701407433
108,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,12.102,1900,0.0005,objective_loss,0.00012151144950621529
109,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,12.102,1900,0.0005,smooth_l1,6.874485693231236e-07
110,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,12.102,1900,0.0005,ssim_loss,0.00024233545176684856
111,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,12.102,1900,0.0005,objective_loss,0.00011040665381187865
112,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,12.102,1900,0.0005,smooth_l1,4.3316809765769905e-07
113,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,12.102,1900,0.0005,ssim_loss,0.00022038014139980078
114,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,12.739,2000,0.0005,objective_loss,0.00012110986601328477
115,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,12.739,2000,0.0005,smooth_l1,5.58407762554225e-07
116,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,12.739,2000,0.0005,ssim_loss,0.0002416613232344389
117,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,12.739,2000,0.0005,objective_loss,0.00011112243901152396
118,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,12.739,2000,0.0005,smooth_l1,5.898020638994694e-07
119,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,12.739,2000,0.0005,ssim_loss,0.00022165507543832065
120,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,13.376,2100,0.0005,objective_loss,0.00013408798578893767
121,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,13.376,2100,0.0005,smooth_l1,1.311083340027608e-06
122,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,13.376,2100,0.0005,ssim_loss,0.0002668648865073919
123,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,13.376,2100,0.0005,objective_loss,9.883102761705231e-05
124,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,13.376,2100,0.0005,smooth_l1,2.4397611850801584e-07
125,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,13.376,2100,0.0005,ssim_loss,0.0001974180806428194
126,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,14.013,2200,0.0005,objective_loss,0.00011064462181821
127,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,14.013,2200,0.0005,smooth_l1,4.016570931497654e-07
128,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,14.013,2200,0.0005,ssim_loss,0.00022088758647441863
129,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,14.013,2200,0.0005,objective_loss,9.828739516706264e-05
130,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,14.013,2200,0.0005,smooth_l1,3.1962750739467084e-07
131,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,14.013,2200,0.0005,ssim_loss,0.00019625516142696142
132,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,14.65,2300,0.0005,objective_loss,0.00010636313876602799
133,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,14.65,2300,0.0005,smooth_l1,3.6566727501963214e-07
134,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,14.65,2300,0.0005,ssim_loss,0.00021236061118543148
135,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,14.65,2300,0.0005,objective_loss,9.813191391003784e-05
136,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,14.65,2300,0.0005,smooth_l1,3.795426572139604e-07
137,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,14.65,2300,0.0005,ssim_loss,0.00019588428549468517
138,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,15.287,2400,0.0005,objective_loss,0.00010465207600645954
139,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,15.287,2400,0.0005,smooth_l1,4.4573324927910105e-07
140,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,15.287,2400,0.0005,ssim_loss,0.0002088584192097187
141,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,15.287,2400,0.0005,objective_loss,9.236323767254362e-05
142,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,15.287,2400,0.0005,smooth_l1,2.3999502705152056e-07
143,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,15.287,2400,0.0005,ssim_loss,0.00018448648042976857
144,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,15.924,2500,0.0005,objective_loss,0.00010788296909595373
145,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,15.924,2500,0.0005,smooth_l1,6.175440675804111e-07
146,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,15.924,2500,0.0005,ssim_loss,0.00021514839492738246
147,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,15.924,2500,0.0005,objective_loss,9.138124414675985e-05
148,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,15.924,2500,0.0005,smooth_l1,2.3735173453331982e-07
149,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,15.924,2500,0.0005,ssim_loss,0.00018252513837069273
150,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,16.561,2600,0.0005,objective_loss,0.00010166589228902012
151,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,16.561,2600,0.0005,smooth_l1,4.943370637988665e-07
152,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,16.561,2600,0.0005,ssim_loss,0.00020283744670450686
153,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,16.561,2600,0.0005,objective_loss,9.946269128704443e-05
154,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,16.561,2600,0.0005,smooth_l1,5.585643272354446e-07
155,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,16.561,2600,0.0005,ssim_loss,0.0001983668189495802
156,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,17.197,2700,0.0005,objective_loss,0.00011706948764185654
157,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,17.197,2700,0.0005,smooth_l1,9.443150619148355e-07
158,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,17.197,2700,0.0005,ssim_loss,0.00023319466039538382
159,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,17.197,2700,0.0005,objective_loss,0.00010375944102634094
160,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,17.197,2700,0.0005,smooth_l1,8.421035687433687e-07
161,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,17.197,2700,0.0005,ssim_loss,0.00020667677745223045
162,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,17.834,2800,0.0005,objective_loss,0.00010239405437459937
163,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,17.834,2800,0.0005,smooth_l1,5.173660963464499e-07
164,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,17.834,2800,0.0005,ssim_loss,0.00020427074283361436
165,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,17.834,2800,0.0005,objective_loss,8.995867915473355e-05
166,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,17.834,2800,0.0005,smooth_l1,3.255131776569442e-07
167,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,17.834,2800,0.0005,ssim_loss,0.0001795918447896838
168,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,18.471,2900,0.0005,objective_loss,0.0001052857735339785
169,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,18.471,2900,0.0005,smooth_l1,6.252035906584297e-07
170,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,18.471,2900,0.0005,ssim_loss,0.0002099463436752558
171,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,18.471,2900,0.0005,objective_loss,9.195414359055575e-05
172,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,18.471,2900,0.0005,smooth_l1,4.2193113927169177e-07
173,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,18.471,2900,0.0005,ssim_loss,0.00018348635639995337
174,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,19.108,3000,0.0005,objective_loss,0.00010015064079198055
175,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,19.108,3000,0.0005,smooth_l1,6.299868451264956e-07
176,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,19.108,3000,0.0005,ssim_loss,0.00019967129454016687
177,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,19.108,3000,0.0005,objective_loss,9.316184532508487e-05
178,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,19.108,3000,0.0005,smooth_l1,4.864909115553928e-07
179,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,19.108,3000,0.0005,ssim_loss,0.00018583720084279775
180,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,19.745,3100,0.0005,objective_loss,0.00010181648976868019
181,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,19.745,3100,0.0005,smooth_l1,6.275128772159633e-07
182,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,19.745,3100,0.0005,ssim_loss,0.00020300546661019324
183,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,19.745,3100,0.0005,objective_loss,9.077264285224373e-05
184,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,19.745,3100,0.0005,smooth_l1,4.464223742672857e-07
185,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,19.745,3100,0.0005,ssim_loss,0.00018109886441379784
186,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,20.382,3200,0.0005,objective_loss,9.635011341742939e-05
187,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,20.382,3200,0.0005,smooth_l1,5.383543391701551e-07
188,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,20.382,3200,0.0005,ssim_loss,0.0001921618729829788
189,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,20.382,3200,0.0005,objective_loss,8.354870228686196e-05
190,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,20.382,3200,0.0005,smooth_l1,2.4446892386009724e-07
191,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,20.382,3200,0.0005,ssim_loss,0.00016685293521732092
192,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,21.019,3300,0.0005,objective_loss,0.00010067569161037682
193,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,21.019,3300,0.0005,smooth_l1,6.563506473611369e-07
194,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,21.019,3300,0.0005,ssim_loss,0.00020069503225386142
195,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,21.019,3300,0.0005,objective_loss,8.151680699484132e-05
196,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,21.019,3300,0.0005,smooth_l1,2.190091992204657e-07
197,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,21.019,3300,0.0005,ssim_loss,0.00016281460411846638
198,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,21.656,3400,0.0005,objective_loss,0.00010654499845259125
199,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,21.656,3400,0.0005,smooth_l1,9.724428750956804e-07
200,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,21.656,3400,0.0005,ssim_loss,0.00021211755461990832
201,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,21.656,3400,0.0005,objective_loss,8.097100621853314e-05
202,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,21.656,3400,0.0005,smooth_l1,2.2522780147582465e-07
203,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,21.656,3400,0.0005,ssim_loss,0.00016171678435057403
204,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,22.293,3500,0.0005,objective_loss,9.234665314579616e-05
205,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,22.293,3500,0.0005,smooth_l1,4.6895555364301347e-07
206,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,22.293,3500,0.0005,ssim_loss,0.0001842243503779173
207,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,22.293,3500,0.0005,objective_loss,9.442261407457408e-05
208,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,22.293,3500,0.0005,smooth_l1,7.41584126728867e-07
209,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,22.293,3500,0.0005,ssim_loss,0.00018810364417731762
210,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,22.93,3600,0.0005,objective_loss,0.00010184191858570558
211,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,22.93,3600,0.0005,smooth_l1,7.869817206085372e-07
212,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,22.93,3600,0.0005,ssim_loss,0.0002028968557715416
213,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,22.93,3600,0.0005,objective_loss,8.761367830629751e-05
214,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,22.93,3600,0.0005,smooth_l1,4.860953701779636e-07
215,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,22.93,3600,0.0005,ssim_loss,0.0001747412607073784
216,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,23.567,3700,0.0005,objective_loss,8.862780217896216e-05
217,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,23.567,3700,0.0005,smooth_l1,4.1624100376225216e-07
218,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,23.567,3700,0.0005,ssim_loss,0.00017683936282992364
